County,Hutchinson,%,Krueger,%,Barton,%,Fields,%,Fisher,%,Gutierrez,%,Brown,%,Davis,%,Draheim,%,Floyd,%,Hancock,%,Henson,%,Hopkins,%,Howell,%,Kelly,%,Payne,%,Richardson,%,Sibley,%,Spink,%,Spiro,%,Stewart,%,Vallaster,%,Wright,%,Zaeske,%,Total,Winner
Travis,25486,25.28%,41877,41.54%,7960,7.90%,8781,8.71%,7398,7.34%,5129,5.09%,131,0.13%,53,0.05%,766,0.76%,347,0.34%,262,0.26%,111,0.11%,463,0.46%,153,0.15%,852,0.85%,138,0.14%,321,0.32%,55,0.05%,40,0.04%,313,0.31%,34,0.03%,22,0.02%,65,0.06%,44,0.04%,100801,2
Trinity,476,21.81%,781,35.79%,165,7.56%,448,20.53%,230,10.54%,24,1.10%,7,0.32%,5,0.23%,4,0.18%,3,0.14%,1,0.05%,3,0.14%,5,0.23%,4,0.18%,13,0.60%,3,0.14%,2,0.09%,1,0.05%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.14%,4,0.18%,2182,2
Tyler,784,29.05%,1349,49.98%,101,3.74%,119,4.41%,254,9.41%,6,0.22%,17,0.63%,2,0.07%,1,0.04%,2,0.07%,6,0.22%,5,0.19%,3,0.11%,3,0.11%,14,0.52%,10,0.37%,8,0.30%,2,0.07%,7,0.26%,0,0.00%,3,0.11%,1,0.04%,2,0.07%,0,0.00%,2699,2
Upshur,1446,33.79%,1374,32.10%,433,10.12%,349,8.15%,556,12.99%,5,0.12%,8,0.19%,1,0.02%,5,0.12%,1,0.02%,4,0.09%,2,0.05%,31,0.72%,4,0.09%,33,0.77%,6,0.14%,8,0.19%,1,0.02%,5,0.12%,3,0.07%,2,0.05%,1,0.02%,0,0.00%,2,0.05%,4280,1
Upton,222,25.23%,182,20.68%,99,11.25%,234,26.59%,36,4.09%,54,6.14%,5,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.45%,24,2.73%,5,0.57%,7,0.80%,3,0.34%,1,0.11%,1,0.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.11%,2,0.23%,880,4
Uvalde,784,23.11%,750,22.10%,354,10.43%,856,25.23%,91,2.68%,485,14.29%,3,0.09%,3,0.09%,6,0.18%,2,0.06%,1,0.03%,1,0.03%,13,0.38%,3,0.09%,9,0.27%,6,0.18%,10,0.29%,3,0.09%,3,0.09%,1,0.03%,0,0.00%,1,0.03%,3,0.09%,5,0.15%,3393,4
Val Verde,520,21.26%,1019,41.66%,218,8.91%,387,15.82%,101,4.13%,105,4.29%,1,0.04%,3,0.12%,5,0.20%,0,0.00%,5,0.20%,2,0.08%,12,0.49%,8,0.33%,7,0.29%,10,0.41%,10,0.41%,3,0.12%,4,0.16%,3,0.12%,0,0.00%,4,0.16%,14,0.57%,5,0.20%,2446,2
Van Zandt,1710,30.37%,1580,28.06%,1004,17.83%,469,8.33%,689,12.24%,15,0.27%,1,0.02%,4,0.07%,9,0.16%,2,0.04%,1,0.02%,5,0.09%,31,0.55%,15,0.27%,27,0.48%,9,0.16%,11,0.20%,3,0.05%,8,0.14%,10,0.18%,8,0.14%,9,0.16%,6,0.11%,5,0.09%,5631,1
Victoria,3207,33.80%,2489,26.23%,1071,11.29%,1519,16.01%,339,3.57%,375,3.95%,18,0.19%,26,0.27%,27,0.28%,6,0.06%,21,0.22%,3,0.03%,66,0.70%,16,0.17%,57,0.60%,42,0.44%,21,0.22%,54,0.57%,16,0.17%,13,0.14%,6,0.06%,49,0.52%,40,0.42%,7,0.07%,9488,1
Walker,1181,25.47%,1275,27.50%,540,11.65%,1119,24.13%,384,8.28%,56,1.21%,5,0.11%,6,0.13%,6,0.13%,3,0.06%,2,0.04%,5,0.11%,17,0.37%,1,0.02%,17,0.37%,7,0.15%,3,0.06%,0,0.00%,0,0.00%,0,0.00%,1,0.02%,2,0.04%,5,0.11%,2,0.04%,4637,2
Waller,512,18.00%,917,32.23%,234,8.22%,799,28.08%,235,8.26%,38,1.34%,4,0.14%,2,0.07%,3,0.11%,0,0.00%,1,0.04%,3,0.11%,9,0.32%,3,0.11%,21,0.74%,27,0.95%,7,0.25%,0,0.00%,2,0.07%,0,0.00%,0,0.00%,5,0.18%,21,0.74%,2,0.07%,2845,2
Ward,451,24.88%,356,19.64%,312,17.21%,342,18.86%,131,7.23%,115,6.34%,2,0.11%,2,0.11%,5,0.28%,1,0.06%,6,0.33%,2,0.11%,37,2.04%,6,0.33%,5,0.28%,1,0.06%,12,0.66%,3,0.17%,18,0.99%,2,0.11%,0,0.00%,1,0.06%,1,0.06%,2,0.11%,1813,1
Washington,932,23.93%,1019,26.16%,345,8.86%,1336,34.30%,207,5.31%,17,0.44%,1,0.03%,0,0.00%,5,0.13%,1,0.03%,1,0.03%,2,0.05%,7,0.18%,1,0.03%,6,0.15%,3,0.08%,3,0.08%,1,0.03%,1,0.03%,1,0.03%,1,0.03%,0,0.00%,2,0.05%,3,0.08%,3895,4
Webb,1118,8.93%,7783,62.19%,216,1.73%,227,1.81%,647,5.17%,1959,15.65%,15,0.12%,20,0.16%,15,0.12%,67,0.54%,16,0.13%,18,0.14%,40,0.32%,28,0.22%,118,0.94%,18,0.14%,54,0.43%,9,0.07%,7,0.06%,38,0.30%,15,0.12%,42,0.34%,32,0.26%,13,0.10%,12515,2
Wharton,1332,28.61%,1267,27.22%,493,10.59%,922,19.81%,410,8.81%,97,2.08%,8,0.17%,6,0.13%,10,0.21%,2,0.04%,3,0.06%,1,0.02%,17,0.37%,4,0.09%,35,0.75%,14,0.30%,10,0.21%,2,0.04%,1,0.02%,6,0.13%,2,0.04%,3,0.06%,6,0.13%,4,0.09%,4655,1
Wheeler,367,25.35%,412,28.45%,227,15.68%,309,21.34%,59,4.07%,1,0.07%,2,0.14%,1,0.07%,2,0.14%,1,0.07%,0,0.00%,3,0.21%,17,1.17%,27,1.86%,7,0.48%,5,0.35%,0,0.00%,2,0.14%,0,0.00%,3,0.21%,1,0.07%,1,0.07%,1,0.07%,0,0.00%,1448,2
Wichita,3140,31.49%,2824,28.32%,1016,10.19%,830,8.32%,1471,14.75%,141,1.41%,12,0.12%,3,0.03%,37,0.37%,8,0.08%,15,0.15%,32,0.32%,27,0.27%,77,0.77%,156,1.56%,20,0.20%,42,0.42%,10,0.10%,24,0.24%,7,0.07%,2,0.02%,28,0.28%,38,0.38%,13,0.13%,9973,1
Wilbarger,462,26.07%,592,33.41%,204,11.51%,81,4.57%,373,21.05%,6,0.34%,5,0.28%,1,0.06%,4,0.23%,0,0.00%,1,0.06%,3,0.17%,2,0.11%,3,0.17%,14,0.79%,2,0.11%,7,0.40%,0,0.00%,2,0.11%,4,0.23%,1,0.06%,1,0.06%,3,0.17%,1,0.06%,1772,2
Willacy,565,34.30%,634,38.49%,54,3.28%,22,1.34%,167,10.14%,140,8.50%,5,0.30%,2,0.12%,5,0.30%,1,0.06%,1,0.06%,29,1.76%,0,0.00%,0,0.00%,5,0.30%,0,0.00%,5,0.30%,1,0.06%,6,0.36%,1,0.06%,3,0.18%,1,0.06%,0,0.00%,0,0.00%,1647,2
Williamson,5174,32.37%,4692,29.36%,2287,14.31%,2087,13.06%,1042,6.52%,239,1.50%,10,0.06%,6,0.04%,64,0.40%,13,0.08%,24,0.15%,20,0.13%,93,0.58%,24,0.15%,41,0.26%,8,0.05%,37,0.23%,17,0.11%,53,0.33%,19,0.12%,9,0.06%,3,0.02%,6,0.04%,15,0.09%,15983,1
Wilson,786,25.75%,859,28.14%,282,9.24%,864,28.30%,126,4.13%,50,1.64%,1,0.03%,1,0.03%,10,0.33%,4,0.13%,5,0.16%,2,0.07%,26,0.85%,1,0.03%,13,0.43%,1,0.03%,9,0.29%,0,0.00%,0,0.00%,1,0.03%,0,0.00%,1,0.03%,0,0.00%,11,0.36%,3053,4
Winkler,182,18.72%,197,20.27%,124,12.76%,296,30.45%,89,9.16%,25,2.57%,1,0.10%,1,0.10%,1,0.10%,0,0.00%,0,0.00%,2,0.21%,25,2.57%,4,0.41%,4,0.41%,8,0.82%,0,0.00%,3,0.31%,4,0.41%,1,0.10%,2,0.21%,0,0.00%,3,0.31%,0,0.00%,972,4
Wise,1347,27.02%,1569,31.47%,1031,20.68%,257,5.15%,557,11.17%,27,0.54%,14,0.28%,1,0.02%,13,0.26%,4,0.08%,2,0.04%,6,0.12%,36,0.72%,45,0.90%,21,0.42%,26,0.52%,20,0.40%,1,0.02%,1,0.02%,2,0.04%,1,0.02%,2,0.04%,1,0.02%,2,0.04%,4986,2
Wood,1611,34.53%,1189,25.48%,676,14.49%,399,8.55%,630,13.50%,14,0.30%,7,0.15%,1,0.02%,3,0.06%,0,0.00%,11,0.24%,9,0.19%,35,0.75%,28,0.60%,21,0.45%,4,0.09%,5,0.11%,1,0.02%,1,0.02%,14,0.30%,2,0.04%,0,0.00%,3,0.06%,2,0.04%,4666,1
Yoakum,280,24.35%,259,22.52%,208,18.09%,260,22.61%,55,4.78%,14,1.22%,5,0.43%,0,0.00%,1,0.09%,5,0.43%,4,0.35%,1,0.09%,16,1.39%,7,0.61%,11,0.96%,3,0.26%,2,0.17%,3,0.26%,4,0.35%,3,0.26%,0,0.00%,1,0.09%,5,0.43%,3,0.26%,1150,1
Young,969,38.96%,714,28.71%,257,10.33%,95,3.82%,384,15.44%,11,0.44%,0,0.00%,1,0.04%,2,0.08%,0,0.00%,4,0.16%,1,0.04%,7,0.28%,6,0.24%,16,0.64%,3,0.12%,5,0.20%,7,0.28%,0,0.00%,1,0.04%,0,0.00%,1,0.04%,3,0.12%,0,0.00%,2487,1
Zapata,205,24.00%,400,46.84%,22,2.58%,37,4.33%,52,6.09%,117,13.70%,3,0.35%,0,0.00%,4,0.47%,1,0.12%,0,0.00%,2,0.23%,1,0.12%,1,0.12%,3,0.35%,2,0.23%,2,0.23%,0,0.00%,1,0.12%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,854,2
Zavala,138,6.61%,506,24.22%,41,1.96%,101,4.83%,40,1.91%,1201,57.49%,4,0.19%,3,0.14%,1,0.05%,2,0.10%,1,0.05%,2,0.10%,8,0.38%,0,0.00%,16,0.77%,8,0.38%,4,0.19%,5,0.24%,0,0.00%,1,0.05%,1,0.05%,0,0.00%,5,0.24%,1,0.05%,2089,6
Total,593338,29.00%,593239,29.00%,284135,13.89%,277560,13.57%,165564,8.09%,52103,2.55%,2187,0.11%,1548,0.08%,5677,0.28%,2301,0.11%,2242,0.11%,3092,0.15%,14753,0.72%,3866,0.19%,11331,0.55%,6782,0.33%,6209,0.30%,2406,0.12%,2281,0.11%,4459,0.22%,1260,0.06%,2124,0.10%,5111,0.25%,2191,0.11%,2045759,
