County,Hutchinson,%,Krueger,%,Barton,%,Fields,%,Fisher,%,Gutierrez,%,Brown,%,Davis,%,Draheim,%,Floyd,%,Hancock,%,Henson,%,Hopkins,%,Howell,%,Kelly,%,Payne,%,Richardson,%,Sibley,%,Spink,%,Spiro,%,Stewart,%,Vallaster,%,Wright,%,Zaeske,%,Total,Winner
Collingsworth,184,26.47%,226,32.52%,115,16.55%,108,15.54%,30,4.32%,4,0.58%,1,0.14%,1,0.14%,0,0.00%,0,0.00%,1,0.14%,1,0.14%,7,1.01%,2,0.29%,8,1.15%,3,0.43%,3,0.43%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.14%,0,0.00%,695,2
Colorado,853,28.78%,937,31.61%,201,6.78%,605,20.41%,253,8.54%,36,1.21%,2,0.07%,1,0.03%,1,0.03%,3,0.10%,4,0.13%,0,0.00%,14,0.47%,11,0.37%,12,0.40%,6,0.20%,3,0.10%,0,0.00%,1,0.03%,2,0.07%,5,0.17%,9,0.30%,5,0.17%,0,0.00%,2964,2
Comal,3221,29.69%,3666,33.80%,1265,11.66%,1795,16.55%,561,5.17%,82,0.76%,10,0.09%,10,0.09%,34,0.31%,2,0.02%,7,0.06%,9,0.08%,94,0.87%,14,0.13%,13,0.12%,5,0.05%,19,0.18%,3,0.03%,19,0.18%,1,0.01%,0,0.00%,3,0.03%,9,0.08%,5,0.05%,10847,2
Comanche,661,30.86%,806,37.63%,186,8.68%,192,8.96%,220,10.27%,13,0.61%,1,0.05%,1,0.05%,1,0.05%,1,0.05%,1,0.05%,3,0.14%,0,0.00%,8,0.37%,18,0.84%,3,0.14%,3,0.14%,12,0.56%,1,0.05%,2,0.09%,2,0.09%,1,0.05%,4,0.19%,2,0.09%,2142,2
Concho,121,19.80%,233,38.13%,15,2.45%,140,22.91%,58,9.49%,18,2.95%,1,0.16%,3,0.49%,1,0.16%,2,0.33%,0,0.00%,2,0.33%,3,0.49%,1,0.16%,3,0.49%,1,0.16%,6,0.98%,1,0.16%,0,0.00%,1,0.16%,0,0.00%,0,0.00%,1,0.16%,0,0.00%,611,2
Cooke,1596,30.37%,961,18.29%,2048,38.97%,123,2.34%,435,8.28%,25,0.48%,4,0.08%,2,0.04%,6,0.11%,0,0.00%,2,0.04%,13,0.25%,9,0.17%,1,0.02%,7,0.13%,9,0.17%,6,0.11%,1,0.02%,2,0.04%,1,0.02%,0,0.00%,1,0.02%,2,0.04%,1,0.02%,5255,3
Coryell,845,21.90%,1081,28.02%,894,23.17%,514,13.32%,379,9.82%,39,1.01%,1,0.03%,5,0.13%,5,0.13%,1,0.03%,8,0.21%,4,0.10%,16,0.41%,3,0.08%,26,0.67%,2,0.05%,10,0.26%,14,0.36%,0,0.00%,2,0.05%,0,0.00%,3,0.08%,4,0.10%,2,0.05%,3858,2
Cottle,96,19.96%,216,44.91%,29,6.03%,71,14.76%,28,5.82%,10,2.08%,5,1.04%,0,0.00%,0,0.00%,0,0.00%,2,0.42%,2,0.42%,3,0.62%,0,0.00%,9,1.87%,5,1.04%,3,0.62%,1,0.21%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.21%,0,0.00%,481,2
Crane,173,16.99%,184,18.07%,318,31.24%,181,17.78%,71,6.97%,32,3.14%,1,0.10%,2,0.20%,0,0.00%,0,0.00%,0,0.00%,2,0.20%,28,2.75%,3,0.29%,5,0.49%,4,0.39%,6,0.59%,1,0.10%,1,0.10%,2,0.20%,0,0.00%,2,0.20%,1,0.10%,1,0.10%,1018,3
Crockett,203,28.75%,215,30.45%,40,5.67%,101,14.31%,40,5.67%,76,10.76%,0,0.00%,0,0.00%,0,0.00%,1,0.14%,1,0.14%,0,0.00%,10,1.42%,2,0.28%,7,0.99%,3,0.42%,3,0.42%,1,0.14%,0,0.00%,2,0.28%,0,0.00%,0,0.00%,0,0.00%,1,0.14%,706,2
