County,Kennerly,%,Connally,%,Rust,%,Curran,%,Total,Winner
Burleson,114,5.93%,1809,94.07%,0,0.00%,0,0.00%,1923,2
Burnet,238,17.73%,1103,82.19%,0,0.00%,1,0.07%,1342,2
Caldwell,194,8.18%,2179,91.82%,0,0.00%,0,0.00%,2373,2
Calhoun,104,14.63%,605,85.09%,0,0.00%,2,0.28%,711,2
Callahan,225,11.71%,1696,88.29%,0,0.00%,0,0.00%,1921,2
Cameron,1844,29.54%,4388,70.30%,1,0.02%,9,0.14%,6242,2
Camp,154,13.74%,967,86.26%,0,0.00%,0,0.00%,1121,2
Carson,484,34.16%,933,65.84%,0,0.00%,0,0.00%,1417,2
Cass,652,22.13%,2294,77.87%,0,0.00%,0,0.00%,2946,2
Castro,103,14.97%,585,85.03%,0,0.00%,0,0.00%,688,2
Chambers,142,26.64%,391,73.36%,0,0.00%,0,0.00%,533,2
Cherokee,424,11.55%,3243,88.34%,2,0.05%,2,0.05%,3671,2
Childress,319,15.45%,1745,84.50%,0,0.00%,1,0.05%,2065,2
Clay,388,15.68%,2086,84.32%,0,0.00%,0,0.00%,2474,2
Cochran,38,12.42%,266,86.93%,0,0.00%,2,0.65%,306,2
Coke,91,11.79%,678,87.82%,0,0.00%,3,0.39%,772,2
Coleman,354,11.57%,2696,88.13%,0,0.00%,9,0.29%,3059,2
Collin,1451,21.47%,5286,78.23%,1,0.01%,19,0.28%,6757,2
Collingsworth,299,17.39%,1420,82.61%,0,0.00%,0,0.00%,1719,2
Colorado,464,17.46%,2181,82.09%,2,0.08%,10,0.38%,2657,2
Comal,346,14.96%,1965,84.95%,0,0.00%,2,0.09%,2313,2
Comanche,294,11.98%,2155,87.82%,0,0.00%,5,0.20%,2454,2
Concho,98,11.12%,780,88.54%,0,0.00%,3,0.34%,881,2
Cooke,702,16.96%,3432,82.92%,2,0.05%,3,0.07%,4139,2
Coryell,278,11.66%,2103,88.21%,0,0.00%,3,0.13%,2384,2
Cottle,71,7.84%,833,91.94%,0,0.00%,2,0.22%,906,2
Crane,23,8.42%,250,91.58%,0,0.00%,0,0.00%,273,2
Crockett,49,15.46%,268,84.54%,0,0.00%,0,0.00%,317,2
Crosby,189,10.93%,1537,88.90%,1,0.06%,2,0.12%,1729,2
Culberson,7,4.49%,149,95.51%,0,0.00%,0,0.00%,156,2
Dallam,253,22.04%,888,77.35%,1,0.09%,6,0.52%,1148,2
Dallas,10177,23.04%,33933,76.81%,8,0.02%,62,0.14%,44180,2
Dawson,399,22.35%,1386,77.65%,0,0.00%,0,0.00%,1785,2
Deaf Smith,199,20.10%,791,79.90%,0,0.00%,0,0.00%,990,2
Delta,215,12.90%,1450,86.98%,1,0.06%,1,0.06%,1667,2
Denton,667,13.42%,4289,86.32%,0,0.00%,13,0.26%,4969,2
DeWitt,355,12.98%,2380,86.99%,0,0.00%,1,0.04%,2736,2
Dickens,113,9.81%,1034,89.76%,0,0.00%,5,0.43%,1152,2
Dimmit,256,29.91%,600,70.09%,0,0.00%,0,0.00%,856,2
Donley,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Duval,438,25.93%,1251,74.07%,0,0.00%,0,0.00%,1689,2
Eastland,1087,19.22%,4570,80.78%,0,0.00%,0,0.00%,5657,2
Ector,58,20.42%,226,79.58%,0,0.00%,0,0.00%,284,2
Edwards,251,53.29%,216,45.86%,1,0.21%,3,0.64%,471,1
Ellis,969,12.23%,6945,87.65%,0,0.00%,10,0.13%,7924,2
El Paso,2273,20.23%,8952,79.69%,0,0.00%,9,0.08%,11234,2
Erath,539,16.31%,2762,83.57%,0,0.00%,4,0.12%,3305,2
Falls,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Fannin,684,14.87%,3913,85.07%,1,0.02%,2,0.04%,4600,2
Fayette,380,8.81%,3934,91.17%,0,0.00%,1,0.02%,4315,2
Fisher,278,13.57%,1770,86.43%,0,0.00%,0,0.00%,2048,2
Floyd,210,11.66%,1591,88.34%,0,0.00%,0,0.00%,1801,2
Foard,130,14.13%,785,85.33%,0,0.00%,5,0.54%,920,2
Fort Bend,193,8.42%,2100,91.58%,0,0.00%,0,0.00%,2293,2
Franklin,113,9.99%,1018,90.01%,0,0.00%,0,0.00%,1131,2
Freestone,346,13.95%,2134,86.01%,0,0.00%,1,0.04%,2481,2
Frio,157,17.58%,736,82.42%,0,0.00%,0,0.00%,893,2
Gaines,79,17.56%,367,81.56%,0,0.00%,4,0.89%,450,2
Galveston,2098,20.60%,8073,79.27%,4,0.04%,9,0.09%,10184,2
Garza,160,15.27%,884,84.35%,0,0.00%,4,0.38%,1048,2
Gillespie,1071,41.77%,1491,58.15%,1,0.04%,1,0.04%,2564,2
Glasscock,8,5.71%,131,93.57%,0,0.00%,1,0.71%,140,2
Goliad,285,27.91%,734,71.89%,0,0.00%,2,0.20%,1021,2
Gonzales,304,13.09%,2017,86.86%,0,0.00%,1,0.04%,2322,2
